tweet,subtask_a,subtask_b,subtask_c
राम कदम वागण्यात नाही तर बोलण्यात चुकला बीजेपी मग अजितदादा कुठे तुमच्या तोंडात मूतले होते का?,Offensive,TIN,GRP
हीच का तुमची शिवसेने चि शिकवण आपली आई म्हणजे दैवत आणि दुसऱ्याची आई म्हणजे रांड,Offensive,TIN,GRP
हे वाचा गाढवांनो आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने साली काय करार केला चीनी कम्युनि…,Offensive,TIN,GRP
भक्त आंधळे असतात मूर्खा ना काही कळत नाही,Offensive,TIN,GRP
वर्षे गोट्या खेडत बसले होते काय साहेब तुम्ही की फक्त हांजी हांजी करण्यात गेली सगळी वर्षे तुमची,Offensive,TIN,IND
तुझ्यासारखे दळभद्री जनतेची माथी करत …,Offensive,TIN,IND
कुठल्या नौदलाचा अधिकारी होता रे हा? बावळट लोकांनो मर्चंट नेव्ही मध्ये होता तो,Offensive,TIN,IND
झाट कळलं नसेल त्याला,Offensive,TIN,IND
आबे चुतीये लोक तुला शिव्या देत आहेत ह्या वरूनच ओळख मराठी लोकांच्यात किती चीड निर्माण झाली आहेमंद बुद्धी आ…,Offensive,TIN,IND
हे बावळट आलं मी कुठं शेअर होल्डिंग बद्दल काय म्हटलं आयटी सेल चे पैशाचे ट्विट चिटकवायची घाणेरडी सवय लागली आहे चो…,Offensive,UNT,NULL
च्यायला ब्लॅक बेल्ट लावा आता तोंडावर,Offensive,UNT,NULL
मराठ्यांनी फक्त मतं द्यायची राज्यावर संकटं आली की युध्दासाठी तयार राहायचं आणि नंतर फाशी…,Offensive,UNT,NULL
महा नालायक महानालायकनी,Offensive,UNT,NULL
दाऊद कडून कॉल आल्यानंतर उद्धव ठाकरे स्वतःच्या घरातून गायब झाला एकही शिवसैनिक पहारेकरी…,Offensive,UNT,NULL
छत्रपती शिवाजी महाराज ह्यांची तुलना कोणाशीही होऊ शकतच नाही तरी सुद्धा मध्येच काही बावळट काही तरी उपद्व्याप करत अस…,Offensive,TIN,OTH
पण बरेच जण जन्मजात मंद मूर्ख आणि अंधभक्त असतातच की,Offensive,TIN,OTH
मिट्रो कोथरुड मध्ये टेस्टिंग सेंटर कुठे आहे एनी आयडिया? आणि पॉसिटीव्ह आल्यानंतर चे प्रोटोकॉलस स्टेप्स बद्दल कोणाला काही आ…,not offensive,NULL,NULL
कोणाही ‘टॉम डिक आणि हॅरीनं मुख्यमंत्र्यांचा केलेला अनादर स्वीकारार्ह नाही जलील यांचा कंगनाला टोलाखासदार इम्तियाज…,not offensive,NULL,NULL
नशीबवान खूपच नशीबवान मग येतात अजूनही ची पूर्ण जाहिरात न बघणारे (कारण ते च्या बाईलवेड्या फालतू मालि…,not offensive,NULL,NULL
म्हणून गप्प आहेत?????? मान…,not offensive,NULL,NULL
